year,Date,C58157,C58157_0.5naopk
2023,45178,,
2023,45179,,
2023,45180,,
2023,45181,,
2023,45182,,
2023,45183,,
2023,45184,,
2023,45185,,
2023,45186,,
2023,45187,,
2023,45188,,
2023,45189,,
2023,45190,,
2023,45191,,
2023,45192,,
2023,45193,,
2023,45194,,
2023,45195,,
2023,45196,,
2023,45197,,
2023,45198,,
2023,45199,,
2023,45200,,
2023,45201,,
2023,45202,,
2023,45203,,
2023,45204,,
2023,45205,,
2023,45206,,
2023,45207,,
2023,45208,,
2023,45209,,
2023,45210,,
2023,45211,,
2023,45212,,
2023,45213,,
2023,45214,,
