year,Date,C58157
2021,44423,0
2021,44424,3.2
2021,44425,3.6
2021,44426,0.8
2021,44427,0
2021,44428,2.6
2021,44429,7.8
2021,44430,5.2
2021,44431,3.6
2021,44432,0
2021,44433,0
2021,44434,0.6
2021,44435,0.2
2021,44436,1.6
2021,44437,0.4
2021,44438,0
2021,44439,0
2021,44440,0
2021,44441,0
2021,44442,0
2021,44443,0
2021,44444,0
2021,44445,0
2021,44446,0
2021,44447,0
2021,44448,0.2
2021,44449,5.8
2021,44450,1.8
2021,44451,0
2021,44452,0
2021,44453,0.2
2021,44454,11
2021,44455,0
2021,44456,0
2021,44457,0
2021,44458,0
2021,44459,0
2021,44460,0
2021,44461,0
2021,44462,0
2021,44463,0
2021,44464,0
2021,44465,0.4
2021,44466,0.8
2021,44467,0
2021,44468,2.6
2021,44469,0
2021,44470,2.4
2021,44471,3.6
2021,44472,34.8
2021,44473,0
2021,44474,5.03
2021,44475,4.7
2021,44476,2.01
2021,44477,0.19
2021,44478,0.08
2021,44479,0.7
2021,44480,0.97
2021,44481,4.8
2021,44482,0.05
2021,44483,0.01
2021,44484,1.13
2021,44485,0.03
2021,44486,0
2021,44487,0
2021,44488,1.09
2021,44489,3.37
2021,44490,9.23
2021,44491,1.02
2021,44492,0
2021,44493,0.1
2021,44494,0.12
2021,44495,0.02
2021,44496,0
2021,44497,0
2021,44498,1.47
2021,44499,4.92
2021,44500,12.97
2021,44501,
2021,44502,
2021,44503,
2021,44504,
2021,44505,
2021,44506,
2021,44507,
2021,44508,
2021,44509,
2021,44510,
2021,44511,
2021,44512,
2021,44513,
2021,44514,
2021,44515,
2021,44516,
2021,44517,
2021,44518,
2021,44519,
2021,44520,
2021,44521,
2021,44522,
2021,44523,
2021,44524,
2021,44525,
2021,44526,
2021,44527,
2021,44528,
2021,44529,
2021,44530,
2021,44531,
2021,44532,
2021,44533,
2021,44534,
2021,44535,
2021,44536,
2021,44537,
2021,44538,
2021,44539,
2021,44540,
2021,44541,
2021,44542,
2021,44543,
2021,44544,
2021,44545,
2021,44546,
2021,44547,
2021,44548,
2021,44549,
2021,44550,
2021,44551,
2021,44552,
2021,44553,
2021,44554,
2021,44555,
2021,44556,
2021,44557,
2021,44558,
2021,44559,
2021,44560,
2021,44561,
2022,44562,
2022,44563,
2022,44564,
2022,44565,
2022,44566,
2022,44567,
2022,44568,
2022,44569,
2022,44570,
2022,44571,
2022,44572,
2022,44573,
2022,44574,
2022,44575,
2022,44576,
2022,44577,
2022,44578,
2022,44579,
2022,44580,
2022,44581,
2022,44582,
2022,44583,
2022,44584,
2022,44585,
2022,44586,
2022,44587,
2022,44588,
2022,44589,
2022,44590,
2022,44591,
2022,44592,
2022,44593,
2022,44594,
2022,44595,
2022,44596,
2022,44597,
2022,44598,
2022,44599,
2022,44600,
2022,44601,
2022,44602,
2022,44603,
2022,44604,
2022,44605,
2022,44606,
2022,44607,
2022,44608,
2022,44609,
2022,44610,
2022,44611,
2022,44612,
2022,44613,
2022,44614,
2022,44615,
2022,44616,
2022,44617,
2022,44618,
2022,44619,
2022,44620,
2022,44621,
2022,44622,
2022,44623,
2022,44624,
2022,44625,
2022,44626,
2022,44627,
2022,44628,
2022,44629,
2022,44630,
2022,44631,
2022,44632,
2022,44633,
2022,44634,
2022,44635,
2022,44636,
2022,44637,
2022,44638,
2022,44639,
2022,44640,
2022,44641,
2022,44642,
2022,44643,
2022,44644,
2022,44645,
2022,44646,
2022,44647,
2022,44648,
2022,44649,
2022,44650,
2022,44651,
2022,44652,2.94
2022,44653,0.44
2022,44654,0.06
2022,44655,3.06
2022,44656,8.12
2022,44657,1.86
2022,44658,14.46
2022,44659,
2022,44660,0
2022,44661,
2022,44662,
2022,44663,
2022,44664,2.78
2022,44665,
2022,44666,
2022,44667,
2022,44668,
2022,44669,
2022,44670,
2022,44671,
2022,44672,
2022,44673,
2022,44674,
2022,44675,
2022,44676,17.14
2022,44677,
2022,44678,
2022,44679,
2022,44680,
2022,44681,
2022,44682,0
2022,44683,0
2022,44684,0
2022,44685,0
2022,44686,0
2022,44687,0
2022,44688,0
2022,44689,0
2022,44690,0
2022,44691,0
2022,44692,0
2022,44693,0.4
2022,44694,0
2022,44695,0
2022,44696,0
2022,44697,0
2022,44698,0
2022,44699,0
2022,44700,2
2022,44701,6.5
2022,44702,5
2022,44703,0
2022,44704,17
2022,44705,0
2022,44706,5
2022,44707,0
2022,44708,4
2022,44709,0
2022,44710,0
2022,44711,0.5
2022,44712,0
2022,44713,0
2022,44714,0
2022,44715,0
2022,44716,3.5
2022,44717,27
2022,44718,3.5
2022,44719,3.5
2022,44720,13
2022,44721,0
2022,44722,0
2022,44723,0
2022,44724,0
2022,44725,0
2022,44726,0
2022,44727,0
2022,44728,0
2022,44729,0
2022,44730,0
2022,44731,2.5
2022,44732,0
2022,44733,0
2022,44734,0
2022,44735,13
2022,44736,7
2022,44737,4.5
2022,44738,0.5
2022,44739,4.5
2022,44740,0
2022,44741,0
2022,44742,12
2022,44743,0
2022,44744,0
2022,44745,0
2022,44746,0
2022,44747,0.23
2022,44748,0.03
2022,44749,0.97
2022,44750,0
2022,44751,0
2022,44752,0.25
2022,44753,0.04
2022,44754,0
2022,44755,0.9
2022,44756,0.37
2022,44757,0.2
2022,44758,0.75
2022,44759,0
2022,44760,0.05
2022,44761,0
2022,44762,2.4
2022,44763,6.8
2022,44764,0.8
2022,44765,0.2
2022,44766,0.9
2022,44767,0
2022,44768,0.02
2022,44769,1.12
2022,44770,0
2022,44771,0
2022,44772,0.49
2022,44773,0.1
2022,44774,0.33
2022,44775,0.06
2022,44776,0
2022,44777,4.5
2022,44778,2.93
2022,44779,0
2022,44780,0
2022,44781,0
2022,44782,0
2022,44783,0
2022,44784,0
2022,44785,0
2022,44786,0
2022,44787,0
2022,44788,0.36
2022,44789,0
2022,44790,0
2022,44791,4.6
2022,44792,1.8
2022,44793,0.07
2022,44794,0
2022,44795,0
2022,44796,0
2022,44797,0.04
2022,44798,0
2022,44799,0.04
2022,44800,0
2022,44801,0.03
2022,44802,0
2022,44803,0
2022,44804,0
2022,44805,0
2022,44806,0
2022,44807,0.14
2022,44808,0.02
2022,44809,0.92
2022,44810,5
2022,44811,2
2022,44812,2
2022,44813,9
2022,44814,9
2022,44815,0
2022,44816,0
2022,44817,11
2022,44818,2
2022,44819,4
2022,44820,22
2022,44821,19
2022,44822,4
2022,44823,1
2022,44824,0
2022,44825,0
2022,44826,0.01
2022,44827,0.89
2022,44828,7.9
2022,44829,0
2022,44830,8.32
2022,44831,14.23
2022,44832,3.16
2022,44833,0.03
2022,44834,0.2
2022,44835,10.07
2022,44836,3.22
2022,44837,0.02
2022,44838,0.02
2022,44839,0.41
2022,44840,0.06
2022,44841,0
2022,44842,0.56
2022,44843,0.01
2022,44844,0
2022,44845,0.05
2022,44846,0.11
2022,44847,0.97
2022,44848,1.12
2022,44849,0.35
2022,44850,2.44
2022,44851,5.85
2022,44852,0.01
2022,44853,0.02
2022,44854,2.35
2022,44855,0
2022,44856,0
2022,44857,1.96
2022,44858,8.99
2022,44859,0
2022,44860,0.03
2022,44861,
2022,44862,
2022,44863,
2022,44864,
2022,44865,0.26
2023,44937,
2023,44938,
2023,44939,
2023,44940,
2023,44941,
2023,44942,
2023,44943,
2023,44944,
2023,44945,
2023,44946,
2023,44947,
2023,44948,
2023,44949,
2023,44950,
2023,44951,
2023,44952,
2023,44953,
2023,44954,
2023,44955,
2023,44956,
2023,44957,
2023,44958,
2023,44959,
2023,44960,
2023,44961,
2023,44962,
2023,44963,
2023,44964,
2023,44965,
2023,44966,
2023,44967,
2023,44968,
2023,44969,
2023,44970,
2023,44971,
2023,44972,
2023,44973,
2023,44974,
2023,44975,
2023,44976,
2023,44977,
2023,44978,
2023,44979,
2023,44980,
2023,44981,
2023,44982,
2023,44983,
2023,44984,
2023,44985,
2023,44986,
2023,44987,
2023,44988,
2023,44989,
2023,44990,
2023,44991,
2023,44992,
2023,44993,
2023,44994,
2023,44995,
2023,44996,
2023,44997,
2023,44998,
2023,44999,
2023,45000,
2023,45001,
2023,45002,
2023,45003,
2023,45004,
2023,45005,
2023,45006,
2023,45007,
2023,45008,
2023,45009,
2023,45010,
2023,45011,
2023,45012,
2023,45016,
2023,45017,
2023,45018,
2023,45019,
2023,45020,
2023,45021,
2023,45022,
2023,45023,
2023,45024,
2023,45025,
2023,45026,
2023,45027,
2023,45028,
2023,45029,
2023,45030,
2023,45031,
2023,45032,
2023,45033,
2023,45034,
2023,45035,
2023,45036,
2023,45037,
2023,45038,
2023,45039,
2023,45040,
2023,45041,
2023,45042,
2023,45043,
2023,45044,
2023,45045,
2023,45046,
2023,45047,0
2023,45048,0.26
2023,45049,0
2023,45050,0.35
2023,45051,5.51
2023,45052,0.01
2023,45053,1.64
2023,45054,0
2023,45055,17.23
2023,45056,15.18
2023,45057,27.76
2023,45058,15.28
2023,45059,0
2023,45060,0
2023,45061,1.27
2023,45062,0
2023,45063,0
2023,45064,0
2023,45065,0
2023,45066,0
2023,45067,0
2023,45068,0
2023,45069,0
2023,45070,0
2023,45071,0.02
2023,45072,0
2023,45073,0.07
2023,45074,0.01
2023,45075,0
2023,45076,0
2023,45077,0
2023,45078,0
2023,45079,0.03
2023,45080,0
2023,45081,0
2023,45082,0.03
2023,45083,0
2023,45084,1
2023,45085,0
2023,45086,0
2023,45087,0
2023,45088,0
2023,45089,0
2023,45090,0
2023,45091,0
2023,45092,0
2023,45093,0
2023,45094,0
2023,45095,1
2023,45096,0
2023,45097,7
2023,45098,0
2023,45099,14
2023,45100,0
2023,45101,0
2023,45102,0
2023,45103,0
2023,45104,1
2023,45105,0
2023,45106,3.5
2023,45107,0
2023,45108,1.5
2023,45109,1
2023,45110,0.5
2023,45111,1
2023,45112,0.5
2023,45113,3
2023,45114,1
2023,45115,0
2023,45116,6
2023,45117,0
2023,45118,4.5
2023,45119,0
2023,45120,0
2023,45121,0
2023,45122,0
2023,45123,3
2023,45124,0.5
2023,45125,0
2023,45126,3
2023,45127,0
2023,45128,0
2023,45129,0
